system,band_gap
K2AgMoCl6,1.0353
CsRb2AsBr6,2.9235
Cs2RbAuBr6,0.0208
Cs2KNiF6,0
Rb2CrHgF6,0
K2ScTlF6,4.6328
RbCaI3,3.44
Rb2NaYI6,3.1384
K2YAgF6,2.6382
K2GaHgF6,0
Rb2AgAuF6,0
K2NaScCl6,3.9133
Cs2NaTmCl6,5.4487
K2AgRuF6,0
Rb2NaSmF6,6.3067
Rb2DyCuCl6,2.5201
K2YCuBr6,2.3227
K2HgSbCl6,0
Na2LiIrF6,2.1677
Cs2NaInBr6,1.8935
Cs2YHgCl6,0
Cs2LiTaCl6,0
K2NaNdI6,3.1158
KSrI1.5Br1.5,3.285
Rb2InAgI6,0
Na2HgAsBr6,0
Rb2NaTbF6,6.4622
Cs2KInBr6,2.3809
Rb2LiYF6,6.8909
Cs2NaPrI6,3.1147
Cs2TaAgI6,0
Cs2TlSbBr6,1.2294
Cs2ScHgCl6,0
Cs2HgBiI6,0
Cs2NbRbCl6,0.074
Cs2AgSbF6,2.3185
Cs2KPdF6,0
K2InHgCl6,0
Cs2PrAgCl6,3.826
CsRb2SbF6,3.3907
Cs2KLaCl6,4.842
RbSrCl3,4.605
Cs2TaAuF6,1.1619
CsSnI3,0.483
K2NdAgBr6,3.2105
Cs2NaAsBr6,2.559
CsK2AlF6,5.6179
Rb2NaTbCl6,5.1216
K2LiMoCl6,1.4862
Na2AlAgF6,2.2358
Rb2GaAuI6,0
Cs2KScBr6,3.1875
KNa2CoF6,3.2242
Rb2DyAuCl6,2.189
K2HgSbI6,0
Cs2ScAuBr6,1.7173
Cs2PdTlCl6,0.125
CsRb2AuF6,0.6608
Na2LiVF6,0
Cs2InHgCl6,0
Rb2ErAuCl6,2.1263
KVF3,2.0759
Cs2LiTlCl6,1.445
KRb2InI6,1.2656
KRb2AlBr6,3.283
K2MnTlF6,0
K2LiTmCl6,5.0647
Cs2NdAgI6,2.5429
Rb2YTlBr6,3.5841
Rb2NaCoF6,2.8821
Rb2AlHgCl6,0
Cs2NaSmF6,6.9248
Rb2NaSmCl6,5.0726
Na2CrHgF6,0
Cs2TlHgBr6,0
Cs2LiSbF6,4.1258
Cs2LiSbCl6,2.984
Cs2AlTlF6,5.6085
Cs2NaBiI6,2.1074
K2TmAuCl6,2.1163
K2YAgCl6,3.6689
Rb2TlBiBr6,1.6711
K2NaBiF6,4.8062
K2GdAuCl6,1.5862
RbSrI3,3.332
K2TlAuF6,0
Rb2TaAgI6,0
Rb2LiAsF6,4.5851
K2HgSbF6,0
Cs2CuSbCl6,0.898
Rb2LiSbBr6,2.3274
K2TiAuF6,0
K2DyAuCl6,2.1841
K2LiLaCl6,4.554
Cs2KNdI6,3.2412
K2NaScI6,2.1954
Cs2NdCuI6,1.7889
Cs2LiMoF6,4.8178
Rb2LaAuCl6,2.301
K2LiNiF6,0
NaMgF3,5.9262
Na2LiNbF6,0
Rb2TlAuBr6,0
KRb2FeF6,4.14
